BAH,-0,4748,0,3580,-0,0175161220043572984749455338
BANC,-0,5540,0,4006,-0,0161967320261437908496732026
BANF,-0,4330,0,6153,0,0322257080610021786492374728
BANR,-0,6763,1,6127,0,0641690631808278867102396514
BAS,-381,9626,781,0281,39,6084586056644880174291939
BAX,-2,2715,0,6376,-0,0676755991285403050108932462
BBBY,-1,3120,3,1564,0,0765771241830065359477124183
BBGI,-0,2873,0,4092,0,0220627450980392156862745098
BBSI,-5,5536,15,2588,0,397156209150326797385620915
BBT,-0,7472,0,8080,-0,0226326797385620915032679739
BBX,-0,1187,0,2769,-0,0006446623093681917211328976
BBY,-2,0269,2,3632,0,1098285403050108932461873638
BC,-1,2904,1,3940,0,0893056644880174291938997821
BCBP,-0,2027,0,7209,0,0299318082788671023965141612
BCC,-1,1266,1,7094,-0,0307799564270152505446623094
BCEI,-360,4292,418,4550,16,132855773420479302832244009
BCML,-0,6000,0,7000,0,0186956521739130434782608696
BCO,-0,7630,1,3188,0,1102283224400871459694989107
BCOR,-1,8800,4,9900,0,1900
BCOV,-0,9500,2,1300,0,1122875816993464052287581699
BCPC,-2,2988,1,8937,0,0978257080610021786492374728
BCRX,-0,6400,0,4700,-0,0205119825708061002178649237
BDC,-1,7948,2,3668,0,0610159041394335511982570806
BDGE,-0,6795,0,4769,0,0367034858387799564270152505
BDN,-0,2384,0,4226,0,0095477124183006535947712418
BDX,-1,5671,1,8989,0,156272549019607843137254902
BEAT,-1,0900,1,4400,0,0237690631808278867102396514
BECN,-2,6200,1,2900,0,0023311546840958605664488017
BEL,-0,6400,1,0000,0,0414161220043572984749455338
BELFB,-0,4963,2,4258,0,094767102396514161220043573
BEN,-1,1545,1,7914,0,0632368191721132897603485839
BERY,-3,1200,0,9500,-0,0978431372549019607843137255
BF.B,-0,4277,0,9160,0,030124618736383442265795207
BFAM,-1,2400,1,3100,-0,0244008714596949891067538126
BFIN,-0,2415,0,3994,0,0064681917211328976034858388
BFS,-1,1101,1,1611,0,0832860566448801742919389978
BG,-1,0927,2,0421,0,0774943355119825708061002179
BGCP,-0,1099,0,1466,-0,0021132897603485838779956427
BGFV,-0,5013,2,0442,0,0240755991285403050108932462
BGG,-0,5137,0,5314,-0,0091472766884531590413943355
BGS,-1,2565,0,4962,-0,0284154684095860566448801743
BH,-7,3200,8,3400,0,9317647058823529411764705882
BHB,-0,3322,0,4239,0,0013433551198257080610021786
BHE,-0,4257,1,1285,0,0029525054466230936819172113
BHLB,-0,4201,0,5951,0,0156389978213507625272331155
BID,-1,3759,1,0185,0,1111856209150326797385620915
BIG,-1,1464,1,1098,0,0101577342047930283224400871
BIIB,-12,3900,10,3200,-0,109734204793028322440087146
BIO,-2,1500,2,3300,0,1518518518518518518518518519
BIOS,-1,9400,0,7200,-0,1392592592592592592592592593
BJRI,-2,9114,1,3467,-0,1137912854030501089324618736
BK,-0,6037,1,0477,0,035823311546840958605664488
BKD,-0,6700,1,5100,0,0888453159041394335511982571
BKE,-3,0404,1,0902,-0,0302779956427015250544662309
BKH,-1,1398,1,2855,0,0734790849673202614379084967
BKNG,-43,5500,50,3100,3,4522875816993464052287581699
BKS,-0,4038,0,6974,0,0245915032679738562091503268
BKU,-0,8274,0,7474,0,013738344226579520697167756
BLDR,-0,2200,0,7000,0,0339869281045751633986928105
BLK,-7,3847,9,2641,0,5328546840958605664488017429
BLKB,-6,4206,1,2745,-0,0629069716775599128540305011
BLL,-0,3785,0,8864,0,0428063180827886710239651416
BLMN,-0,7837,1,0103,0,0256124183006535947712418301
BLMT,-0,2400,0,3800,0,0027450980392156862745098039
BLUE,-2,3000,2,7600,-0,15409586056644880174291939
BLX,-0,5983,0,5384,0,0301488017429193899782135076
BMCH,-0,5420,0,4980,0,0688888888888888888888888889
BMI,-0,7385,0,7620,0,0843610021786492374727668845
BMRC,-1,2402,1,2586,0,0905932461873638344226579521
BMRN,-5,0800,3,7500,-0,2333115468409586056644880174
BMS,-1,0717,0,5710,-0,0206858387799564270152505447
BMTC,-0,6369,0,8934,0,0528934640522875816993464052
BMY,-0,6811,2,8748,0,1470396514161220043572984749
BNCL,-0,2425,0,2037,0,0106721132897603485838779956
BOCH,-0,2313,0,1758,0,0065697167755991285403050109
BOFI,-1,8900,1,9275,0,0317755991285403050108932462
BOH,-0,7353,1,5658,0,1217522875816993464052287582
BOKF,-2,6220,1,5324,-0,0371651416122004357298474946
BOOM,-0,7212,0,4327,-0,0158361655773420479302832244
BPFH,-0,2673,0,5033,0,0178084967320261437908496732
